CID,Course No,Title,Hour,TID,Credit,Room,Type,Limit,LID,Time,DID,,CFID
1,CS 135501,Introduction to Programming (I),3,53,3,DELTA 103,Required,70 ,2,M7M8R5R6,1,HWANN-TZONG,
2,CS 135502,Introduction to Programming (I),3,52,3,DELTA 107,Required,70 ,2,M7M8R5R6,1,SHUN-REN,
3,CS 135600,Introduction to Programming (II),3,20,3,DELTA 108,Required,0,2,T5T6F5F6,1,CHE-RUNG,
4,CS 233601,Discrete Mathematics,3,19,3,DELTA 107,Required,90 ,2,M3M4W2,1,KAI,
5,CS 233602,Discrete Mathematics,3,15,3,DELTA 108,Required,90 ,1,M3M4W2,1,KEI,
6,CS 135701,Intro. to Computer Systems & Applications,2,68,2,DELTA 103,Optional,60 ,2,R7R8R9,1,TZU-WEI,
7,CS 135702,Intro. to Computer Systems & Applications,2,66,2,DELTA 103,Optional,60 ,2,W7W8W9,1,CHUN-TIEN,
8,CS 210401,Hardware Design and Lab.,3,24,3,"EECS 326,DELTA 105",Required,75,2,R7R8T7T8,1,CHUN-YI,
9,CS 210402,Hardware Design and Lab.,3,18,3,"DELTA 105,EECS 326",Required,75,2,R7R8T7T8,1,CHIH-TSUN,
10,CS 233401,Linear Algebra,3,9,3,DELTA 103,Required,90,2,M3M4W2,1,CHAUR-CHIN,
11,CS 233402,Linear Algebra,3,14,3,DELTA 109,Required,90,2,M3M4W2,1,MING-JER,
12,CS 235101,Data Structures,3,58,3,"DELTA 103,EECS 326",Required,90,2,T3T4R3WaWb,1,CHIH-YA,
13,CS 235102,Data Structures,3,54,3,"DELTA 104,EECS 326",Required,90,2,T3T4R3WaWb,1,JUNG-CHUN,
14,CS 321201,Introduction to Computer Networks,3,46,3,EECS 131,Optional,80,2,M7M8R6,1,HWA-CHUN,
15,CS 321202,Introduction to Computer Networks,3,5,3,DELTA 108,Optional,80,2,M7M8R6,1,NEN-FU,
16,CS 333401,Engineering Mathematics,3,4,3,DELTA 103,Optional,90,2,W4F3F4,1,LONG-WEN,
17,CS 333402,Engineering Mathematics,3,44,3,DELTA 107,Optional,90,2,W3W4R2,1,REN-SONG,
18,CS 423500,Introduction to Internet of Things,3,5,3,DELTA 108,Optional,40,2,TaTbTc,1,NEN-FU,
19,CS 531900,Advanced Discrete Structure,3,19,3,DELTA 102,Optional,20,1,T6T7R4,1,KAI,
20,CS 546000,Software Project Management,3,16,3,DELTA 108,Optional,50,2,M5M6R5,1,CHING-YU,
21,CS 342301,Operating Systems,3,23,3,DELTA 105,Required,90,2,M3M4W2,1,JERRY,
22,CS 342302,Operating Systems,3,51,3,DELTA 104,Required,90,2,M3M4W2,1,PAI-HSIANG,
23,CS 410000,Computer Architecture,3,40,3,DELTA 109,Required,50,2,M5M6M7,1,TING-TING,
24,CS 431101,Design and Analysis of Algorithms,3,8,3,EECS 131,Required,100,2,W3W4F3,1,BIING-FENG,
25,CS 431102,Design and Analysis of Algorithms,3,45,3,DELTA 104,Required,100,2,W3W4F3,1,JANG-PING,
26,CS 312000,Introduction of Integrated Circuit Design,3,10,3,DELTA 108,Optional,80,2,M2R3R4,1,SHIH-CHIEH,
27,CS 314000,Introduction to Analog Circuit Design,3,3,3,DELTA 107,Optional,90,2,W7W8F6,1,CHIA-TUNG,
28,CS 330500,Cryptography and Network Security,3,12,3,DELTA 105,Optional,70,2,M7M8R6,1,HUNG-MIN,
29,CS 333000,Scientific Computing,3,55,3,DELTA 102,Optional,35,1,M3M4W2,1,CHENG-HSIN,
30,CS 337100,Formal Language,3,17,3,DELTA 104,Optional,70,2,T7T8R7,1,HOTSUNG-YI,
31,CS 343300,Competitive Programming Training,3,20,3,DELTA 102,Optional,0,2,MaMbMc,1,CHE-RUNG,
32,CS 410100,Introduction to Embedded Systems,3,7,3,"DELTA 105,EECS 326",Optional,50,2,R3T3T4,1,CHUNG-TA,
33,CS 412500,Digital System Design,3,18,3,DELTA 104,Optional,50,2,T5T6R5R6,1,CHIH-TSUN,
34,CS 452000,Introduction to Image Processing,3,48,3,DELTA 103,Optional,40,2,M5M6R4,1,CHIU-TING,
35,CS 460100,Introduction to Intelligent Computing,3,6,3,EECS 132,Optional,80,1,W3W4F3,1,VON-WUN,
