1,"Duan-Shin Lee,Wen-Tsuen Chen,Nen-Fu Huang,Jang-Ping Sheu,Ming-Jer Tsai,Hwa-Chun Lin,Shun-Ren Yang,Jung-Chun Kao,Shan-Hung Wu,Wen-Tsuen Chen,Nen-Fu Huang,Wei-Kuan Shih,Jang-Ping Sheu,Hwa-Chun Lin,Ming-Jer Tsai,Shun-Ren Yang,Hwa-Chun Lin,Cheng-Hsin Hsu,Nen-Fu Huang,Hung-Min Sun,Ching-Te Chiu"
2,"Duan-Shin Lee,Wen-Tsuen Chen,Nen-Fu Huang,Jang-Ping Sheu,Ming-Jer Tsai,Hwa-Chun Lin,Shun-Ren Yang,Jung-Chun Kao,Shan-Hung Wu"
3,"Wen-Tsuen Chen,Nen-Fu Huang,Wei-Kuan Shih,Jang-Ping Sheu,Hwa-Chun Lin,Ming-Jer Tsai,Shun-Ren Yang"
4,"Hwa-Chun Lin,Cheng-Hsin Hsu"
5,"Nen-Fu Huang,Hung-Min Sun"
6,Ching-Te Chiu
7,"Chung Laung Liu,Youn-Long Steve Lin,TingTing Hwang,Shih-Chieh Chang,Jyuo-Min Shyu,Ting-Chi Wang,Wai-Kei Mak,Chun-Yao Wang,Tsung-Yi Ho,Chih-Tsun Huang"
8,"Youn-Long Steve Lin,Shih-Chieh Chang,Jyuo-Min Shyu,Ching-Te Chiu，Chih-Tsun Huang"
9,"TingTing Hwang,Ren-Song Tsay,Chih-Tsun Huang,Chun-Yi Lee"
10,"Ching-Te Chiu,Chih-Tsun Huang,Chun-Yi Lee"
11,"Wei-Kuan Shih,Chun-Yao Wang,Tsung-Yi Ho"
12,"Shih-Chieh Chang,Ren-Song Tsay,Chun-Yao Wang"
13,"Chung Laung Liu,Wai-Kei Mak,Tsung-Yi Ho"
14,"Ren-Song Tsay,Chih-Tsun Huang"
15,"Nen-Fu Huang,Che-Rung Lee,Jerry Chou"
16,Jenq-Kuen Lee
17,"Duan-Shin Lee,Wen-Tsuen Chen,Nen-Fu Huang,Wei-Kuan Shih,Jang-Ping Sheu,Hwa-Chun Lin,Che-Run Lee,Shan-Hung Wu,Jerry Chou,Yeh-Ching Chung"
18,"Chia-Tung Lee,Wen-Tsuen Chen,Chung-Ta King,Biing-Feng Wang,Jenq-Kuen Lee,Ren-Song Tsay,Jang-Ping Sheu,Che-Rung Lee,Shan-Hung Wu,Jerry Chou,Chuan Yi Tang,Yeh-Ching Chung"
19,"Chung-Ta King,Jerry Chou"
20,Wei-Kuan Shih
21,"Jenq-Kuen Lee,Wei-Kuan Shih,Pai H. Chou,Chih-Tsun Huang,Chun-Yi Lee"
22,"Chung-Ta King,Wei-Kuan Shih,Pai H. Chou,Cheng-Hsin Hsu"
23,Chin-Yu Huang
24,"Long-Wen Chang,Chaur-Chin Chen,Shang-Hong Lai,Ching-Te Chiu,Chiou-Ting Hsu"
25,Hung-Kuo Chu
26,"Long-Wen Chang,Shang-Hong Lai,Hwann-Tzong Chen,Ching-Te Chiu,Chiou-Ting Hsu,Chun-Yi Lee,Chih-Tsun Huang"
27,"Shang-Hong Lai,Long-Wen Chang,Chaur-Chin Chen,Chiou-Ting Hsu,Ching-Te Chiu,Hwann-Tzong Chen,Chih-Tsun Huang,Chun-Yi Lee"
28,"Shang-Hong Lai,Hung-Kuo Chu"
29,"Shang-Hong Lai,Long-Wen Chang,Chiou-Ting Hsu,Jia-Shung Wang,Chih-Ya Shen"
30,Jia-Shung Wang
31,"Nen-Fu Huang,Hwa-Chun Lin,Shan-Huang Wu,Yi-Shin Chen,Hao-Chuan Wang,Chih-Ya Shen,Duan-Shin Lee"
32,"Jason S. Chang,Hao-Chuan Wang"
33,"Nen-Fu Huang,Jason S. Chang,Jyuo-Min Shyu,Hung-Min Sun,Hwa-Chun Lin,Che-Rung Lee,Shan-Hung Wu,Yi-Shin Chen,Hwa-Chun Lin,Che-Rung Lee,Shan-Hung Wu,Yi-Shin Chen,"
34,"Chia-Tung Lee,Biing-Feng Wang,Ming-Jer Tsai,Chin Lung Lu,Wing-Kai Hon,Chuan Yi Tang"
35,"Shang-Hong Lai,Long-Wen Chang,Von-Wun Soo,Jason S. Chang,Hung-Min Sun,Chiou-Ting Hsu,Chih-Tsun Huang,Hwann-Tzong Chen,Shan-Huang Wu,Yi-Shin Chen,Chun-Yi Lee"
36,"Yi-Shin Chen,Chih-Ya Shen,Jason S. Chang"
37,"Nen-Fu Huang,Von-Wun Soo,Jason S. Chang,Hung-Min Sun,Chih-Tsun Huang,Shan-Hung Wu,Yi-Shin Chen,Chun-Yi Lee,Chih-Ya Shen,Duan-Shin Lee"
38,"Von-Wun Soo,Jason S. Chang,Hung-Min Sun,Chih-Tsun Huang,Shan-Hung Wu,Yi-Shin Chen,Chun-Yi Lee,Chih-Ya Shen,Duan-Shin Lee"
39,"Jason S. Chang,Von-Wun Soo,Shan-Hung Wu,Yi-Shin Chen"
40,Chun-Yi Lee
41,"Shang-Hong Lai,Nen-Fu Huang,Hung-Min Sun,Chin-Yu Huang"
