1,Shang Hong Lai,賴尚宏
2,Chung Laung Liu,劉炯朗
3,Chia Tung Lee,李家同
4,Long Wen Chang,張隆紋
5,Nen Fu Huang,黃能富
6,Von Wun Soo,蘇豐文
7,Chung Ta King,金仲達
8,Biing Feng Wang,王炳豐
9,Chaur Chin Chen,陳朝欽
10,Shih Chieh Chang,張世杰
11,Jyuo Min Shyu,徐爵民
12,Hung Min Sun,孫宏民
13,Ting Chi Wang,王廷基
14,Ming Jer Tsai,蔡明哲
15,Wai Kei Mak,麥偉基
16,Chin Yu Huang,黃慶育
17,Tsung Yi Ho,何宗易
18,Chih Tsun Huang,黃稚存
19,Wing Kai Hon,韓永楷
20,Che Rung Lee,李哲榮
21,Shan Hung Wu,吳尚鴻
22,Yi Shin Chen,陳宜欣
23,Jerry Chou,周志遠
24,Chun Yi Lee,李濬屹
25,Cheng Wen Wu,吳誠文
26,Chin Chen Chang,張真誠
27,Wen Lian Hsu,許聞廉
28,Kwei Jay Lin,林桂傑
29,Yuan Xie,謝源
30,Bor Ren Jeng,鄭博仁
31,Ruen Rone Lee,李潤容
32,Long Rong Hu,胡龍融
33,Da Cheng Juan,阮大成
34,Duan Shin Lee,李端興
35,Jane win shih Liu,張韻詩
36,Wen Tsuen Chen,陳文村
37,Yu Chin Hsu,許有進
38,Youn Long Steve Lin,林永隆
39,Jia Shung Wang,王家祥
40,TingTing Hwang,黃婷婷
41,Jason S. Chang,張俊盛
42,Jenq Kuen Lee,李政崑
43,Wei Kuan Shih,石維寬
44,Ren Song Tsay,蔡仁松
45,Jang Ping Sheu,許健平
46,Hwa Chun Lin,林華君
47,Chin Lung Lu,盧錦隆
48,Chiou Ting Hsu,許秋婷
49,Ching Te Chiu,邱瀞德
50,Chun Yao Wang,王俊堯
51,Pai H. Chou,周百祥
52,Shun Ren Yang,楊舜仁
53,Hwann Tzong Chen,陳煥宗
54,Jung Chun Kao,高榮駿
55,Cheng Hsin Hsu,徐正炘
56,Hung Kuo Chu,朱宏國
57,Hao Chuan Wang,王浩全
58,Chih Ya Shen,沈之涯
59,Wen Liang Hung,洪文良
60,Cheng Shang Chang,張正尚
61,Arbee L.P.Chen,陳良弼
62,Chuan Yi Tang,唐傳義
63,Tzi Cker Chiueh,闕志克
64,Lung Lung Liu,劉龍龍
65,Alan Peisheng Su,蘇培陞
66,Chun Tien Chang,張君天
67,Chai K Toh,
68,,黃子瑋
69,,指導教授
