CS135501,Introduction to Programming (I),3,M7M8R5R6,DELTA 103,70 ,100,Hwann-Tzong Chen,Required
CS135502,Introduction to Programming (I),3,M7M8R5R6,DELTA 107,70 ,104,Shun-Ren Yang,Required
CS135600,Introduction to Programming (II),3,T5T6F5F6,DELTA 108,0,23,Che-Rung Lee,Required
CS233601,Discrete Mathematics,3,M3M4W2,DELTA 107,90 ,160,Kai Hon Wing,Required
CS233602,Discrete Mathematics,3,M3M4W2,DELTA 108,90 ,75,Kei Mak Wai,Required
CS135701,Intro. to Computer Systems & Applications,2,R7R8R9,DELTA 103,60 ,84,Tzu-Wei Huang,Optional
CS135702,Intro. to Computer Systems & Applications,2,W7W8W9,DELTA 103,60 ,74,Chun-Tien Chang,Optional
CS210401,Hardware Design and Lab.,3,R7R8T7T8,"EECS 326,DELTA 105",75,74,Chun-Yi Lee,Required
CS210402,Hardware Design and Lab.,3,R7R8T7T8,"DELTA 105,EECS 326",75,82,Chih-Tsun Huang,Required
CS233401,Linear Algebra,3,M3M4W2,DELTA 103,90,94,Chaur-Chin Chen,Required
CS233402,Linear Algebra,3,M3M4W2,DELTA 109,90,80,Ming-Jer Tsai,Required
CS235101,Data Structures,3,T3T4R3WaWb,"DELTA 103,EECS 326",90,93,Chih-Ya Shen,Required
CS235102,Data Structures,3,T3T4R3WaWb,"DELTA 104,EECS 326",90,81,Jung-Chun Kao,Required
CS321201,Introduction to Computer Networks,3,M7M8R6,EECS 131,80,62,Hwa-Chun Lin,Optional
CS321202,Introduction to Computer Networks,3,M7M8R6,DELTA 108,80,117,Nen-Fu Huang,Optional
CS333401,Engineering Mathematics,3,W4F3F4,DELTA 103,90,60,Long-Wen Chang,Optional
CS333402,Engineering Mathematics,3,W3W4R2,DELTA 107,90,6,Ren-Song Tsay,Optional
CS423500,Introduction to Internet of Things,3,TaTbTc,DELTA 108,40,50,Nen-Fu Huang,Optional
CS531900,Advanced Discrete Structure,3,T6T7R4,DELTA 102,20,18,Kai Hon Wing,Optional
CS546000,Software Project Management,3,M5M6R5,DELTA 108,50,53,Ching-Yu Huang,Optional
CS342301,Operating Systems,3,M3M4W2,DELTA 105,90,133,Jerry Chou,Required
CS342302,Operating Systems,3,M3M4W2,DELTA 104,90,91,Pai-Hsiang Chou,Required
CS410000,Computer Architecture,3,M5M6M7,DELTA 109,50,77,Ting-Ting Hwang,Required
CS431101,Design and Analysis of Algorithms,3,W3W4F3,EECS 131,100,80,Biing-Feng Wang,Required
CS431102,Design and Analysis of Algorithms,3,W3W4F3,DELTA 104,100,104,Jang-Ping Sheu,Required
CS312000,Introduction of Integrated Circuit Design,3,M2R3R4,DELTA 108,80,94,Shih-Chieh Chang,Optional
CS314000,Introduction to Analog Circuit Design,3,W7W8F6,DELTA 107,90,9,Chia-Tung Lee,Optional
CS330500,Cryptography and Network Security,3,M7M8R6,DELTA 105,70,86,Hung-Min Sun,Optional
